question,answer,type,scoring_method,tolerance
삼성전자 2024년 매출액은?,300.87조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 매출액은?,258.94조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 매출액은?,302.23조원,quantitative_retrieval,numerical,0.01
삼성전자 2024년 영업이익은?,32.73조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 영업이익은?,6.57조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 영업이익은?,43.38조원,quantitative_retrieval,numerical,0.01
삼성전자 2024년 당기순이익은?,34.45조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 당기순이익은?,15.49조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 당기순이익은?,55.65조원,quantitative_retrieval,numerical,0.01
삼성전자 2024년 자산총계는?,514.53조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 자산총계는?,455.91조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 자산총계는?,448.42조원,quantitative_retrieval,numerical,0.01
삼성전자 2024년 부채총계는?,112.34조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 부채총계는?,92.23조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 부채총계는?,93.67조원,quantitative_retrieval,numerical,0.01
삼성전자 2024년 자본총계는?,402.19조원,quantitative_retrieval,numerical,0.01
삼성전자 2023년 자본총계는?,363.68조원,quantitative_retrieval,numerical,0.01
삼성전자 2022년 자본총계는?,354.75조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 매출액은?,175.23조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 매출액은?,162.66조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 매출액은?,142.15조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 영업이익은?,14.24조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 영업이익은?,15.13조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 영업이익은?,9.82조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 당기순이익은?,13.23조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 당기순이익은?,12.27조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 당기순이익은?,7.98조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 자산총계는?,339.80조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 자산총계는?,282.46조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 자산총계는?,255.74조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 부채총계는?,219.52조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 부채총계는?,180.65조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 부채총계는?,164.85조원,quantitative_retrieval,numerical,0.01
현대자동차 2024년 자본총계는?,120.28조원,quantitative_retrieval,numerical,0.01
현대자동차 2023년 자본총계는?,101.81조원,quantitative_retrieval,numerical,0.01
현대자동차 2022년 자본총계는?,90.90조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 매출액은?,66.19조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 매출액은?,32.77조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 매출액은?,44.62조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 영업이익은?,23.47조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 영업이익은?,-7.73조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 영업이익은?,6.81조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 당기순이익은?,19.80조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 당기순이익은?,-9.14조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 당기순이익은?,2.24조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 자산총계는?,119.86조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 자산총계는?,100.33조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 자산총계는?,103.87조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 부채총계는?,45.94조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 부채총계는?,46.83조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 부채총계는?,40.58조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2024년 자본총계는?,73.92조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2023년 자본총계는?,53.50조원,quantitative_retrieval,numerical,0.01
SK하이닉스 2022년 자본총계는?,63.29조원,quantitative_retrieval,numerical,0.01
카카오 2024년 매출액은?,7.87조원,quantitative_retrieval,numerical,0.01
카카오 2023년 매출액은?,7.56조원,quantitative_retrieval,numerical,0.01
카카오 2022년 매출액은?,6.80조원,quantitative_retrieval,numerical,0.01
카카오 2024년 영업이익은?,"4,602.12억원",quantitative_retrieval,numerical,0.01
카카오 2023년 영업이익은?,"4,608.58억원",quantitative_retrieval,numerical,0.01
카카오 2022년 영업이익은?,"5,693.90억원",quantitative_retrieval,numerical,0.01
카카오 2024년 당기순이익은?,"-1,618.71억원",quantitative_retrieval,numerical,0.01
카카오 2023년 당기순이익은?,-1.82조원,quantitative_retrieval,numerical,0.01
카카오 2022년 당기순이익은?,1.07조원,quantitative_retrieval,numerical,0.01
카카오 2024년 자산총계는?,25.77조원,quantitative_retrieval,numerical,0.01
카카오 2023년 자산총계는?,25.18조원,quantitative_retrieval,numerical,0.01
카카오 2022년 자산총계는?,22.96조원,quantitative_retrieval,numerical,0.01
카카오 2024년 부채총계는?,11.83조원,quantitative_retrieval,numerical,0.01
카카오 2023년 부채총계는?,11.32조원,quantitative_retrieval,numerical,0.01
카카오 2022년 부채총계는?,9.45조원,quantitative_retrieval,numerical,0.01
카카오 2024년 자본총계는?,13.94조원,quantitative_retrieval,numerical,0.01
카카오 2023년 자본총계는?,13.86조원,quantitative_retrieval,numerical,0.01
카카오 2022년 자본총계는?,13.52조원,quantitative_retrieval,numerical,0.01
기아 2024년 매출액은?,107.45조원,quantitative_retrieval,numerical,0.01
기아 2023년 매출액은?,99.81조원,quantitative_retrieval,numerical,0.01
기아 2022년 매출액은?,86.56조원,quantitative_retrieval,numerical,0.01
기아 2024년 영업이익은?,12.67조원,quantitative_retrieval,numerical,0.01
기아 2023년 영업이익은?,11.61조원,quantitative_retrieval,numerical,0.01
기아 2022년 영업이익은?,7.23조원,quantitative_retrieval,numerical,0.01
기아 2024년 당기순이익은?,9.78조원,quantitative_retrieval,numerical,0.01
기아 2023년 당기순이익은?,8.78조원,quantitative_retrieval,numerical,0.01
기아 2022년 당기순이익은?,5.41조원,quantitative_retrieval,numerical,0.01
기아 2024년 자산총계는?,92.76조원,quantitative_retrieval,numerical,0.01
기아 2023년 자산총계는?,80.63조원,quantitative_retrieval,numerical,0.01
기아 2022년 자산총계는?,73.71조원,quantitative_retrieval,numerical,0.01
기아 2024년 부채총계는?,36.92조원,quantitative_retrieval,numerical,0.01
기아 2023년 부채총계는?,34.07조원,quantitative_retrieval,numerical,0.01
기아 2022년 부채총계는?,34.37조원,quantitative_retrieval,numerical,0.01
기아 2024년 자본총계는?,55.84조원,quantitative_retrieval,numerical,0.01
기아 2023년 자본총계는?,46.56조원,quantitative_retrieval,numerical,0.01
기아 2022년 자본총계는?,39.34조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 매출액은?,25.62조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 매출액은?,33.75조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 매출액은?,25.60조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 영업이익은?,"5,753.87억원",quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 영업이익은?,2.16조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 영업이익은?,1.21조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 당기순이익은?,"3,386.02억원",quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 당기순이익은?,1.64조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 당기순이익은?,"7,798.26억원",quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 자산총계는?,60.31조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 자산총계는?,45.44조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 자산총계는?,38.30조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 부채총계는?,29.34조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 부채총계는?,21.06조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 부채총계는?,17.71조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2024년 자본총계는?,30.97조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2023년 자본총계는?,24.37조원,quantitative_retrieval,numerical,0.01
LG에너지솔루션 2022년 자본총계는?,20.59조원,quantitative_retrieval,numerical,0.01
NAVER 2024년 매출액은?,10.74조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 매출액은?,9.67조원,quantitative_retrieval,numerical,0.01
NAVER 2022년 매출액은?,8.22조원,quantitative_retrieval,numerical,0.01
NAVER 2024년 영업이익은?,1.98조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 영업이익은?,1.49조원,quantitative_retrieval,numerical,0.01
NAVER 2022년 영업이익은?,1.30조원,quantitative_retrieval,numerical,0.01
NAVER 2024년 당기순이익은?,1.93조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 당기순이익은?,"9,850.18억원",quantitative_retrieval,numerical,0.01
NAVER 2022년 당기순이익은?,"6,731.80억원",quantitative_retrieval,numerical,0.01
NAVER 2024년 자산총계는?,38.17조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 자산총계는?,35.74조원,quantitative_retrieval,numerical,0.01
NAVER 2022년 자산총계는?,33.90조원,quantitative_retrieval,numerical,0.01
NAVER 2024년 부채총계는?,11.17조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 부채총계는?,11.50조원,quantitative_retrieval,numerical,0.01
NAVER 2022년 부채총계는?,10.45조원,quantitative_retrieval,numerical,0.01
NAVER 2024년 자본총계는?,27.00조원,quantitative_retrieval,numerical,0.01
NAVER 2023년 자본총계는?,24.24조원,quantitative_retrieval,numerical,0.01
NAVER 2022년 자본총계는?,23.45조원,quantitative_retrieval,numerical,0.01
KB금융 2024년 영업이익은?,8.05조원,quantitative_retrieval,numerical,0.01
KB금융 2023년 영업이익은?,6.39조원,quantitative_retrieval,numerical,0.01
KB금융 2022년 영업이익은?,5.23조원,quantitative_retrieval,numerical,0.01
KB금융 2024년 당기순이익은?,5.03조원,quantitative_retrieval,numerical,0.01
KB금융 2023년 당기순이익은?,4.53조원,quantitative_retrieval,numerical,0.01
KB금융 2022년 당기순이익은?,3.89조원,quantitative_retrieval,numerical,0.01
KB금융 2024년 자산총계는?,757.85조원,quantitative_retrieval,numerical,0.01
KB금융 2023년 자산총계는?,715.73조원,quantitative_retrieval,numerical,0.01
KB금융 2022년 자산총계는?,688.65조원,quantitative_retrieval,numerical,0.01
KB금융 2024년 부채총계는?,698.03조원,quantitative_retrieval,numerical,0.01
KB금융 2023년 부채총계는?,657.09조원,quantitative_retrieval,numerical,0.01
KB금융 2022년 부채총계는?,634.85조원,quantitative_retrieval,numerical,0.01
KB금융 2024년 자본총계는?,59.82조원,quantitative_retrieval,numerical,0.01
KB금융 2023년 자본총계는?,58.64조원,quantitative_retrieval,numerical,0.01
KB금융 2022년 자본총계는?,53.80조원,quantitative_retrieval,numerical,0.01
삼성생명 2024년 영업이익은?,2.50조원,quantitative_retrieval,numerical,0.01
삼성생명 2023년 영업이익은?,2.40조원,quantitative_retrieval,numerical,0.01
삼성생명 2022년 영업이익은?,2.18조원,quantitative_retrieval,numerical,0.01
삼성생명 2024년 당기순이익은?,2.26조원,quantitative_retrieval,numerical,0.01
삼성생명 2023년 당기순이익은?,2.03조원,quantitative_retrieval,numerical,0.01
삼성생명 2022년 당기순이익은?,2.31조원,quantitative_retrieval,numerical,0.01
삼성생명 2024년 자산총계는?,312.22조원,quantitative_retrieval,numerical,0.01
삼성생명 2023년 자산총계는?,314.66조원,quantitative_retrieval,numerical,0.01
삼성생명 2022년 자산총계는?,296.23조원,quantitative_retrieval,numerical,0.01
삼성생명 2024년 부채총계는?,279.48조원,quantitative_retrieval,numerical,0.01
삼성생명 2023년 부채총계는?,270.32조원,quantitative_retrieval,numerical,0.01
삼성생명 2022년 부채총계는?,254.67조원,quantitative_retrieval,numerical,0.01
삼성생명 2024년 자본총계는?,32.74조원,quantitative_retrieval,numerical,0.01
삼성생명 2023년 자본총계는?,44.34조원,quantitative_retrieval,numerical,0.01
삼성생명 2022년 자본총계는?,41.56조원,quantitative_retrieval,numerical,0.01
삼성전자 대표이사는?,"전영현, 노태문",qualitative_retrieval,llm_judge,
삼성전자 결산월은?,12월,qualitative_retrieval,llm_judge,
삼성전자 설립일은?,1969년 01월 13일,qualitative_retrieval,llm_judge,
현대자동차 대표이사는?,"정의선, 무뇨스 바르셀로 호세 안토니오(각자 대표이사)",qualitative_retrieval,llm_judge,
현대자동차 결산월은?,12월,qualitative_retrieval,llm_judge,
현대자동차 설립일은?,1967년 12월 29일,qualitative_retrieval,llm_judge,
SK하이닉스 대표이사는?,곽노정,qualitative_retrieval,llm_judge,
SK하이닉스 결산월은?,12월,qualitative_retrieval,llm_judge,
SK하이닉스 설립일은?,1949년 10월 15일,qualitative_retrieval,llm_judge,
카카오 대표이사는?,정신아,qualitative_retrieval,llm_judge,
카카오 결산월은?,12월,qualitative_retrieval,llm_judge,
카카오 설립일은?,1995년 02월 16일,qualitative_retrieval,llm_judge,
기아 대표이사는?,"송호성,최준영(각자 대표이사)",qualitative_retrieval,llm_judge,
기아 결산월은?,12월,qualitative_retrieval,llm_judge,
기아 설립일은?,1944년 12월 10일,qualitative_retrieval,llm_judge,
LG에너지솔루션 대표이사는?,김동명,qualitative_retrieval,llm_judge,
LG에너지솔루션 결산월은?,12월,qualitative_retrieval,llm_judge,
LG에너지솔루션 설립일은?,2020년 12월 01일,qualitative_retrieval,llm_judge,
NAVER 대표이사는?,최수연,qualitative_retrieval,llm_judge,
NAVER 결산월은?,12월,qualitative_retrieval,llm_judge,
